date,end_price,contrast,updown,start,max,min,amount,size,capitalization
2021-08-10,3243.19,-17.23,-0.53,3272.44,3272.44,3232.46,718952,2.14E+07,2.34E+09
2021-08-09,3260.42,-9.94,-0.3,3258.1,3275.15,3251.74,707654,1.57E+07,2.33E+09
2021-08-06,3270.36,-5.77,-0.18,3277.06,3288.17,3261.93,941361,1.55E+07,2.33E+09
2021-08-05,3276.13,-4.25,-0.13,3283.25,3296.17,3273.33,680941,1.19E+07,2.31E+09
2021-08-04,3280.38,43.24,1.34,3246.65,3283.14,3237.55,632242,1.24E+07,2.31E+09
2021-08-03,3237.14,14.1,0.44,3221.57,3237.14,3213.2,653513,1.25E+07,2.28E+09
2021-08-02,3223.04,20.72,0.65,3218.42,3223.04,3194,561003,1.02E+07,2.27E+09
2021-07-30,3202.32,-40.33,-1.24,3234.37,3234.66,3202.32,687861,1.28E+07,2.25E+09
2021-07-29,3242.65,5.79,0.18,3248.49,3252.26,3232.5,694823,1.05E+07,2.28E+09
2021-07-28,3236.86,4.33,0.13,3226.06,3243.21,3210.9,868603,1.20E+07,2.28E+09
2021-07-27,3232.53,7.58,0.24,3244.43,3252.85,3230.75,991939,1.23E+07,2.27E+09
2021-07-26,3224.95,-29.47,-0.91,3265.99,3265.99,3224.95,826067,1.22E+07,2.27E+09
2021-07-23,3254.42,4.21,0.13,3253.44,3264.01,3246.09,805048,1.32E+07,2.29E+09
2021-07-22,3250.21,34.3,1.07,3235.17,3253.75,3235.17,712983,1.30E+07,2.29E+09
2021-07-21,3215.91,-16.79,-0.52,3251.13,3252.25,3215.91,990327,1.49E+07,2.26E+09
2021-07-20,3232.7,-11.34,-0.35,3223.24,3234.8,3214.42,979670,1.53E+07,2.27E+09
2021-07-19,3244.04,-32.87,-1,3258.87,3258.87,3236.39,1095559,1.29E+07,2.28E+09
2021-07-16,3276.91,-9.31,-0.28,3282.89,3282.89,3259.32,1066507,1.48E+07,2.30E+09
2021-07-15,3286.22,21.41,0.66,3269.33,3286.58,3263.09,1172431,1.37E+07,2.30E+09
2021-07-14,3264.81,-6.57,-0.2,3270.09,3270.09,3250.45,908954,1.30E+07,2.29E+09
2021-07-13,3271.38,24.91,0.77,3253.24,3273.9,3253.24,1150101,1.35E+07,2.29E+09
2021-07-12,3246.47,28.52,0.89,3227.51,3251.45,3227.51,1135043,1.13E+07,2.27E+09
2021-07-09,3217.95,-34.73,-1.07,3245.52,3245.52,3188.8,1308365,1.65E+07,2.25E+09
2021-07-08,3252.68,-32.66,-0.99,3287.68,3295.71,3252.41,1516034,1.69E+07,2.28E+09
