index,voted
0,2
1,2
2,2
3,1
4,1
5,2
6,2
7,2
8,2
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,2
17,1
18,1
19,2
20,2
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,2
29,1
30,1
31,1
32,1
33,2
34,2
35,2
36,2
37,2
38,1
39,1
40,1
41,2
42,2
43,2
44,1
45,2
46,1
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,1
57,2
58,1
59,2
60,2
61,1
62,2
63,2
64,1
65,2
66,1
67,2
68,1
69,2
70,1
71,1
72,1
73,2
74,2
75,2
76,1
77,1
78,2
79,1
80,2
81,2
82,1
83,2
84,2
85,2
86,2
87,2
88,1
89,2
90,2
91,1
92,2
93,1
94,2
95,2
96,2
97,2
98,1
99,1
100,2
101,1
102,2
103,2
104,1
105,2
106,1
107,1
108,1
109,1
110,2
111,2
112,2
113,1
114,1
115,2
116,1
117,1
118,2
119,2
120,1
121,2
122,2
123,2
124,2
125,1
126,2
127,2
128,2
129,1
130,1
131,2
132,1
133,2
134,2
135,2
136,2
137,2
138,1
139,2
140,2
141,2
142,1
143,1
144,2
145,1
146,2
147,1
148,2
149,2
150,1
151,1
152,1
153,1
154,1
155,1
156,2
157,1
158,2
159,1
160,2
161,2
162,2
163,2
164,2
165,2
166,1
167,1
168,2
169,2
170,2
171,2
172,2
173,2
174,2
175,1
176,2
177,2
178,1
179,2
180,2
181,1
182,2
183,1
184,1
185,1
186,1
187,1
188,2
189,1
190,2
191,1
192,2
193,1
194,1
195,2
196,1
197,1
198,1
199,2
200,2
201,1
202,2
203,1
204,2
205,1
206,2
207,1
208,2
209,2
210,2
211,2
212,2
213,2
214,1
215,2
216,1
217,1
218,1
219,2
220,2
221,1
222,2
223,1
224,1
225,2
226,2
227,2
228,2
229,1
230,2
231,1
232,1
233,2
234,2
235,2
236,2
237,2
238,2
239,1
240,2
241,2
242,1
243,2
244,2
245,1
246,1
247,2
248,2
249,2
250,1
251,2
252,1
253,1
254,2
255,2
256,2
257,1
258,2
259,1
260,2
261,2
262,2
263,1
264,2
265,1
266,2
267,2
268,2
269,1
270,1
271,1
272,1
273,2
274,1
275,1
276,2
277,2
278,1
279,2
280,2
281,1
282,2
283,2
284,1
285,2
286,1
287,2
288,1
289,2
290,1
291,2
292,1
293,1
294,2
295,2
296,1
297,1
298,1
299,2
300,2
301,2
302,2
303,2
304,2
305,2
306,2
307,2
308,2
309,2
310,1
311,1
312,1
313,1
314,2
315,2
316,1
317,2
318,2
319,2
320,2
321,2
322,1
323,1
324,2
325,2
326,1
327,2
328,1
329,2
330,1
331,1
332,1
333,1
334,2
335,1
336,1
337,2
338,2
339,1
340,2
341,1
342,2
343,2
344,2
345,2
346,1
347,1
348,2
349,1
350,2
351,2
352,1
353,1
354,2
355,1
356,2
357,1
358,2
359,1
360,2
361,1
362,1
363,2
364,2
365,2
366,2
367,2
368,2
369,2
370,2
371,2
372,2
373,1
374,1
375,2
376,1
377,1
378,2
379,1
380,2
381,2
382,2
383,1
384,1
385,1
386,1
387,1
388,2
389,2
390,2
391,2
392,1
393,1
394,2
395,2
396,1
397,1
398,1
399,2
400,1
401,2
402,1
403,2
404,2
405,2
406,2
407,1
408,2
409,2
410,1
411,2
412,2
413,1
414,1
415,1
416,1
417,2
418,2
419,2
420,2
421,1
422,1
423,1
424,1
425,2
426,1
427,1
428,2
429,1
430,2
431,2
432,1
433,2
434,1
435,2
436,1
437,1
438,1
439,2
440,1
441,2
442,2
443,1
444,1
445,1
446,1
447,2
448,1
449,2
450,2
451,2
452,1
453,2
454,1
455,1
456,1
457,2
458,1
459,2
460,2
461,1
462,2
463,1
464,1
465,1
466,1
467,2
468,1
469,2
470,1
471,1
472,2
473,1
474,1
475,1
476,1
477,2
478,2
479,2
480,1
481,2
482,1
483,1
484,2
485,2
486,2
487,1
488,1
489,2
490,2
491,1
492,2
493,2
494,2
495,2
496,2
497,1
498,1
499,1
500,2
501,2
502,2
503,2
504,1
505,1
506,2
507,1
508,1
509,2
510,1
511,1
512,1
513,2
514,2
515,2
516,2
517,1
518,1
519,1
520,1
521,1
522,1
523,2
524,2
525,2
526,2
527,2
528,2
529,2
530,2
531,1
532,2
533,1
534,1
535,2
536,2
537,1
538,2
539,2
540,1
541,1
542,2
543,1
544,1
545,1
546,2
